name,tf_mobilenetv3_small_minimal_100,tf_mobilenetv3_small_075,tf_mobilenetv3_small_100,regnetx_002,regnety_002,mobilenetv2_100,semnasnet_100,tf_mobilenetv3_large_minimal_100,tf_mobilenetv3_large_075,tf_mixnet_s,mixnet_s,regnety_004,mnasnet_100,spnasnet_100,mobilenetv2_110d,tf_efficientnet_lite0,efficientnet_lite0,rexnet_100,mixnet_m,tf_mixnet_m,regnetx_004,tf_efficientnet_b0_ap
tf_mobilenetv3_small_minimal_100,1.0,0.40970139543184186,0.44833124552002535,0.1958568652167229,0.187519245162173,0.6513387345679011,0.5087886000095394,0.6993367197559743,0.5784565260929342,0.3566413719534079,0.3566413719534079,0.22915859939055386,0.5860992841295349,0.6276694725028059,0.643652476440938,0.5349487481373398,0.5349487481373398,0.3464152359194239,0.33439784687014484,0.33439784687014484,0.18439451858567338,0.12391896573444192
tf_mobilenetv3_small_075,0.2352948627636973,1.0,0.7639317558299039,0.09329075271547022,0.28223502890744173,0.18181689441825225,0.3672271647145163,0.21103737034756634,0.521246244772696,0.231927316394812,0.231927316394812,0.3403239607372037,0.19712333669175341,0.20773474722766527,0.19362505729292293,0.1689404976755735,0.1689404976755735,0.3105653318157684,0.2650599945057942,0.2650599945057942,0.10931590532746575,0.36339721732314323
tf_mobilenetv3_small_100,0.2522622667963691,0.7639317558299039,1.0,0.09586379979734898,0.27945338363480576,0.18435907179685565,0.389420461374744,0.21826730726330795,0.5227328229813356,0.24544524227152759,0.24544524227152759,0.3123817229758179,0.1931928823293025,0.20940442268997492,0.18803143431249872,0.1684821998737085,0.1684821998737085,0.36891384322217746,0.2468670949528231,0.2468670949528231,0.11093512029668229,0.39163141429411263
regnetx_002,0.15472559004108138,0.133920564343643,0.13401135015150176,1.0,0.19196720754034335,0.1903386237279358,0.15759189970480836,0.20976551179041583,0.2003334792647125,0.1302664735147413,0.1302664735147413,0.19507765834310184,0.19953465156556108,0.22073623491510483,0.1903288752459651,0.1782953994391437,0.1782953994391437,0.11953753317764201,0.15847340774811264,0.15847340774811264,0.7534598765432098,0.06292617574801183
regnety_002,0.07492243587193216,0.19774014801101125,0.19540940863317427,0.09757586794044787,1.0,0.09845703965555105,0.18123185976506573,0.07571067373758687,0.18577269154190884,0.18425469509735387,0.18425469509735387,0.5884256907602002,0.0887805147541762,0.1095375742480378,0.10791492929492556,0.08584717876082332,0.08584717876082332,0.22337861337491044,0.2024785207522375,0.2024785207522375,0.10275026858963804,0.20942552028426245
mobilenetv2_100,0.4924908450486741,0.21969303614900848,0.22544782000117922,0.17700050528441724,0.18459134980724218,1.0,0.5571275146382114,0.6006893257660633,0.3665047222019414,0.2584328939572729,0.2584328939572729,0.20599057089777376,0.6016630090705817,0.616475890985325,0.9105586683543316,0.6631155403376477,0.6631155403376477,0.3301893117626991,0.27324186267569617,0.27324186267569617,0.17213312368972747,0.12850940332600547
semnasnet_100,0.2440174258983384,0.3050898382922193,0.32021768707482984,0.09616808598514297,0.20786278416931886,0.35426099474945333,1.0,0.2798919109691009,0.4728535915903472,0.28730090940679714,0.28730090940679714,0.2164918148980648,0.32919391044920965,0.30309465711711026,0.3755612917619793,0.38214197784054804,0.38214197784054804,0.4624152620842908,0.3111942261781789,0.3111942261781789,0.09122929198601794,0.5073520443047642
tf_mobilenetv3_large_minimal_100,0.5693752539371859,0.28031689048385827,0.30141359057672484,0.2140033809943586,0.1549311897031845,0.6255341606204209,0.4746479350603244,1.0,0.5159758597963285,0.3028162801279671,0.3028162801279671,0.18739551600486237,0.6383808963726968,0.7225418083900227,0.6500689253010866,0.5504700666884902,0.5504700666884902,0.2771667094241704,0.29303923784755925,0.29303923784755925,0.20910269105227894,0.10131861772486772
tf_mobilenetv3_large_075,0.30883586830246146,0.4431034700489183,0.4463119804819024,0.13232929181890102,0.22807545702705484,0.26442709009774545,0.4876302663275455,0.34781078030253115,1.0,0.2699524126373924,0.2699524126373924,0.28192150917563213,0.24545563115347163,0.29008160888936113,0.2811065718354638,0.21785995505404723,0.21785995505404723,0.3772841121285351,0.2867417648660549,0.2867417648660549,0.1401473899833185,0.35509443773076627
tf_mixnet_s,0.11930363663359131,0.11621141841298456,0.1263122506952483,0.05503142374159504,0.13299017649229916,0.11992666798113995,0.1542705268679411,0.12889642556218858,0.15267238191626847,1.0,1.0,0.17111258445050326,0.1113058626007364,0.13497435965165086,0.13042971212632726,0.10968523800441138,0.10968523800441138,0.1978745503879374,0.8654003643662261,0.8654003643662261,0.06309894293973026,0.21622677919583383
